scenario,rank,report_id,label,score,defect_score,judgement_score,TP,FP,FN,partial,uncertain,excluded
beta=0.5;weights=3-2-1;defects=70,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,78.9,48.9,30,13.0,1.0,24.0,1,7,22
beta=0.5;weights=3-2-1;defects=70,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,78.9,48.9,30,13.0,1.0,24.0,1,7,42
beta=0.5;weights=3-2-1;defects=70,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,73.2,43.2,30,9,0,28,0,2,15
beta=0.5;weights=3-2-1;defects=70,4,R03,KimiCode / KimiK3-session-merge-v2-review,65.5,35.5,30,7,1,30,0,7,26
beta=0.5;weights=3-2-1;defects=70,5,R07,QoderIDE / Sonus-session-merge-v2-review,64.4,34.4,30,6,0,31,0,1,17
beta=0.5;weights=3-2-1;defects=70,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,63.6,33.6,30,7.0,2.0,30.0,1,16,40
beta=0.5;weights=3-2-1;defects=70,7,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,61.0,31.0,30,10.0,9.0,27.0,1,11,53
beta=0.5;weights=3-2-1;defects=70,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,56.9,26.9,30,5,2,32,0,2,9
beta=0.5;weights=3-2-1;defects=70,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,53.2,30.7,22.5,5,0,32,0,6,21
beta=0.5;weights=3-2-1;defects=70,10,R04,Qoder / kimik3-session-merge-v2-review,43.9,21.4,22.5,3,0,34,0,2,11
beta=0.5;weights=3-2-1;defects=70,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,43.9,21.4,22.5,3,0,34,0,2,25
beta=0.5;weights=3-2-1;defects=70,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,38.1,15.6,22.5,2,0,35,0,2,10
beta=0.5;weights=3-2-1;defects=70,12,R16,小米mimo / session-merge-v2-code-review,38.1,15.6,22.5,2,0,35,0,2,12
beta=0.5;weights=3-2-1;defects=70,14,R17,智普ZCode / 会话合并v2代码审查报告,30.3,7.8,22.5,1.0,1.0,36.0,1,1,10
beta=0.5;weights=3-2-1;defects=70,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,22.5,0.0,22.5,0,0,37,0,2,10
beta=0.5;weights=3-2-1;defects=70,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,15.0,0.0,15,0,0,37,0,2,14
beta=0.5;weights=3-2-1;defects=70,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,37,0,2,8
beta=0.5;weights=3-2-1;defects=80,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,75.9,55.9,20,13.0,1.0,24.0,1,7,22
beta=0.5;weights=3-2-1;defects=80,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,75.9,55.9,20,13.0,1.0,24.0,1,7,42
beta=0.5;weights=3-2-1;defects=80,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,69.3,49.3,20,9,0,28,0,2,15
beta=0.5;weights=3-2-1;defects=80,4,R03,KimiCode / KimiK3-session-merge-v2-review,60.6,40.6,20,7,1,30,0,7,26
beta=0.5;weights=3-2-1;defects=80,5,R07,QoderIDE / Sonus-session-merge-v2-review,59.3,39.3,20,6,0,31,0,1,17
beta=0.5;weights=3-2-1;defects=80,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,58.4,38.4,20,7.0,2.0,30.0,1,16,40
beta=0.5;weights=3-2-1;defects=80,7,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,55.4,35.4,20,10.0,9.0,27.0,1,11,53
beta=0.5;weights=3-2-1;defects=80,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,50.8,30.8,20,5,2,32,0,2,9
beta=0.5;weights=3-2-1;defects=80,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,50.1,35.1,15,5,0,32,0,6,21
beta=0.5;weights=3-2-1;defects=80,10,R04,Qoder / kimik3-session-merge-v2-review,39.5,24.5,15,3,0,34,0,2,11
beta=0.5;weights=3-2-1;defects=80,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,39.5,24.5,15,3,0,34,0,2,25
beta=0.5;weights=3-2-1;defects=80,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,32.8,17.8,15,2,0,35,0,2,10
beta=0.5;weights=3-2-1;defects=80,12,R16,小米mimo / session-merge-v2-code-review,32.8,17.8,15,2,0,35,0,2,12
beta=0.5;weights=3-2-1;defects=80,14,R17,智普ZCode / 会话合并v2代码审查报告,23.9,8.9,15,1.0,1.0,36.0,1,1,10
beta=0.5;weights=3-2-1;defects=80,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,15.0,0.0,15,0,0,37,0,2,10
beta=0.5;weights=3-2-1;defects=80,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,10.0,0.0,10,0,0,37,0,2,14
beta=0.5;weights=3-2-1;defects=80,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,5.0,0.0,5,0,0,37,0,2,8
beta=0.5;weights=3-2-1;defects=90,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,72.9,62.9,10,13.0,1.0,24.0,1,7,22
beta=0.5;weights=3-2-1;defects=90,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,72.9,62.9,10,13.0,1.0,24.0,1,7,42
beta=0.5;weights=3-2-1;defects=90,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,65.5,55.5,10,9,0,28,0,2,15
beta=0.5;weights=3-2-1;defects=90,4,R03,KimiCode / KimiK3-session-merge-v2-review,55.7,45.7,10,7,1,30,0,7,26
beta=0.5;weights=3-2-1;defects=90,5,R07,QoderIDE / Sonus-session-merge-v2-review,54.3,44.3,10,6,0,31,0,1,17
beta=0.5;weights=3-2-1;defects=90,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,53.2,43.2,10,7.0,2.0,30.0,1,16,40
beta=0.5;weights=3-2-1;defects=90,7,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,49.8,39.8,10,10.0,9.0,27.0,1,11,53
beta=0.5;weights=3-2-1;defects=90,8,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,47.0,39.5,7.5,5,0,32,0,6,21
beta=0.5;weights=3-2-1;defects=90,9,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,44.6,34.6,10,5,2,32,0,2,9
beta=0.5;weights=3-2-1;defects=90,10,R04,Qoder / kimik3-session-merge-v2-review,35.1,27.6,7.5,3,0,34,0,2,11
beta=0.5;weights=3-2-1;defects=90,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,35.1,27.6,7.5,3,0,34,0,2,25
beta=0.5;weights=3-2-1;defects=90,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,27.5,20.0,7.5,2,0,35,0,2,10
beta=0.5;weights=3-2-1;defects=90,12,R16,小米mimo / session-merge-v2-code-review,27.5,20.0,7.5,2,0,35,0,2,12
beta=0.5;weights=3-2-1;defects=90,14,R17,智普ZCode / 会话合并v2代码审查报告,17.5,10.0,7.5,1.0,1.0,36.0,1,1,10
beta=0.5;weights=3-2-1;defects=90,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,37,0,2,10
beta=0.5;weights=3-2-1;defects=90,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,5.0,0.0,5,0,0,37,0,2,14
beta=0.5;weights=3-2-1;defects=90,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,2.5,0.0,2.5,0,0,37,0,2,8
beta=0.5;weights=2-1-1;defects=70,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,78.8,48.8,30,8.5,0.5,16.5,1,7,22
beta=0.5;weights=2-1-1;defects=70,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,78.8,48.8,30,8.5,0.5,16.5,1,7,42
beta=0.5;weights=2-1-1;defects=70,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,72.9,42.9,30,6,0,19,0,2,15
beta=0.5;weights=2-1-1;defects=70,4,R03,KimiCode / KimiK3-session-merge-v2-review,65.7,35.7,30,5,1,20,0,7,26
beta=0.5;weights=2-1-1;defects=70,5,R07,QoderIDE / Sonus-session-merge-v2-review,64.1,34.1,30,4,0,21,0,1,17
beta=0.5;weights=2-1-1;defects=70,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,62.1,32.1,30,4.5,1.5,20.5,1,16,40
beta=0.5;weights=2-1-1;defects=70,7,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,61.2,31.2,30,6.5,5.5,18.5,1,11,53
beta=0.5;weights=2-1-1;defects=70,8,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,56.6,34.1,22.5,4,0,21,0,6,21
beta=0.5;weights=2-1-1;defects=70,9,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,55.6,25.6,30,3,1,22,0,2,9
beta=0.5;weights=2-1-1;defects=70,10,R04,Qoder / kimik3-session-merge-v2-review,43.7,21.2,22.5,2,0,23,0,2,11
beta=0.5;weights=2-1-1;defects=70,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,43.7,21.2,22.5,2,0,23,0,2,25
beta=0.5;weights=2-1-1;defects=70,10,R16,小米mimo / session-merge-v2-code-review,43.7,21.2,22.5,2,0,23,0,2,12
beta=0.5;weights=2-1-1;defects=70,13,R10,TraeCode / kimik3-会话合并v2代码审查报告,34.6,12.1,22.5,1,0,24,0,2,10
beta=0.5;weights=2-1-1;defects=70,14,R17,智普ZCode / 会话合并v2代码审查报告,28.5,6.0,22.5,0.5,0.5,24.5,1,1,10
beta=0.5;weights=2-1-1;defects=70,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,22.5,0.0,22.5,0,0,25,0,2,10
beta=0.5;weights=2-1-1;defects=70,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,15.0,0.0,15,0,0,25,0,2,14
beta=0.5;weights=2-1-1;defects=70,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,25,0,2,8
beta=0.5;weights=2-1-1;defects=80,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,75.7,55.7,20,8.5,0.5,16.5,1,7,22
beta=0.5;weights=2-1-1;defects=80,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,75.7,55.7,20,8.5,0.5,16.5,1,7,42
beta=0.5;weights=2-1-1;defects=80,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,69.0,49.0,20,6,0,19,0,2,15
beta=0.5;weights=2-1-1;defects=80,4,R03,KimiCode / KimiK3-session-merge-v2-review,60.8,40.8,20,5,1,20,0,7,26
beta=0.5;weights=2-1-1;defects=80,5,R07,QoderIDE / Sonus-session-merge-v2-review,59.0,39.0,20,4,0,21,0,1,17
beta=0.5;weights=2-1-1;defects=80,6,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,56.7,36.7,20,4.5,1.5,20.5,1,16,40
beta=0.5;weights=2-1-1;defects=80,7,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,55.6,35.6,20,6.5,5.5,18.5,1,11,53
beta=0.5;weights=2-1-1;defects=80,8,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,54.0,39.0,15,4,0,21,0,6,21
beta=0.5;weights=2-1-1;defects=80,9,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,49.3,29.3,20,3,1,22,0,2,9
beta=0.5;weights=2-1-1;defects=80,10,R04,Qoder / kimik3-session-merge-v2-review,39.2,24.2,15,2,0,23,0,2,11
beta=0.5;weights=2-1-1;defects=80,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,39.2,24.2,15,2,0,23,0,2,25
beta=0.5;weights=2-1-1;defects=80,10,R16,小米mimo / session-merge-v2-code-review,39.2,24.2,15,2,0,23,0,2,12
beta=0.5;weights=2-1-1;defects=80,13,R10,TraeCode / kimik3-会话合并v2代码审查报告,28.8,13.8,15,1,0,24,0,2,10
beta=0.5;weights=2-1-1;defects=80,14,R17,智普ZCode / 会话合并v2代码审查报告,21.9,6.9,15,0.5,0.5,24.5,1,1,10
beta=0.5;weights=2-1-1;defects=80,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,15.0,0.0,15,0,0,25,0,2,10
beta=0.5;weights=2-1-1;defects=80,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,10.0,0.0,10,0,0,25,0,2,14
beta=0.5;weights=2-1-1;defects=80,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,5.0,0.0,5,0,0,25,0,2,8
beta=0.5;weights=2-1-1;defects=90,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,72.7,62.7,10,8.5,0.5,16.5,1,7,22
beta=0.5;weights=2-1-1;defects=90,1,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,72.7,62.7,10,8.5,0.5,16.5,1,7,42
beta=0.5;weights=2-1-1;defects=90,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,65.1,55.1,10,6,0,19,0,2,15
beta=0.5;weights=2-1-1;defects=90,4,R03,KimiCode / KimiK3-session-merge-v2-review,55.9,45.9,10,5,1,20,0,7,26
beta=0.5;weights=2-1-1;defects=90,5,R07,QoderIDE / Sonus-session-merge-v2-review,53.9,43.9,10,4,0,21,0,1,17
beta=0.5;weights=2-1-1;defects=90,6,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,51.4,43.9,7.5,4,0,21,0,6,21
beta=0.5;weights=2-1-1;defects=90,7,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,51.3,41.3,10,4.5,1.5,20.5,1,16,40
beta=0.5;weights=2-1-1;defects=90,8,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,50.1,40.1,10,6.5,5.5,18.5,1,11,53
beta=0.5;weights=2-1-1;defects=90,9,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,42.9,32.9,10,3,1,22,0,2,9
beta=0.5;weights=2-1-1;defects=90,10,R04,Qoder / kimik3-session-merge-v2-review,34.8,27.3,7.5,2,0,23,0,2,11
beta=0.5;weights=2-1-1;defects=90,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,34.8,27.3,7.5,2,0,23,0,2,25
beta=0.5;weights=2-1-1;defects=90,10,R16,小米mimo / session-merge-v2-code-review,34.8,27.3,7.5,2,0,23,0,2,12
beta=0.5;weights=2-1-1;defects=90,13,R10,TraeCode / kimik3-会话合并v2代码审查报告,23.0,15.5,7.5,1,0,24,0,2,10
beta=0.5;weights=2-1-1;defects=90,14,R17,智普ZCode / 会话合并v2代码审查报告,15.3,7.8,7.5,0.5,0.5,24.5,1,1,10
beta=0.5;weights=2-1-1;defects=90,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,25,0,2,10
beta=0.5;weights=2-1-1;defects=90,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,5.0,0.0,5,0,0,25,0,2,14
beta=0.5;weights=2-1-1;defects=90,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,2.5,0.0,2.5,0,0,25,0,2,8
beta=1;weights=4-2-1;defects=70,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,65.6,35.6,30,14.0,1.0,26.0,1,7,22
beta=1;weights=4-2-1;defects=70,2,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,63.7,33.7,30,13.0,1.0,27.0,1,7,42
beta=1;weights=4-2-1;defects=70,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,60.2,30.2,30,11,0,29,0,2,15
beta=1;weights=4-2-1;defects=70,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,53.3,23.3,30,10.0,10.0,30.0,1,11,53
beta=1;weights=4-2-1;defects=70,5,R07,QoderIDE / Sonus-session-merge-v2-review,50.9,20.9,30,7,0,33,0,1,17
beta=1;weights=4-2-1;defects=70,6,R03,KimiCode / KimiK3-session-merge-v2-review,50.4,20.4,30,7,1,33,0,7,26
beta=1;weights=4-2-1;defects=70,7,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,50.0,20.0,30,7.0,2.0,33.0,1,16,40
beta=1;weights=4-2-1;defects=70,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,44.9,14.9,30,5,2,35,0,2,9
beta=1;weights=4-2-1;defects=70,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,38.1,15.6,22.5,5,0,35,0,6,21
beta=1;weights=4-2-1;defects=70,10,R04,Qoder / kimik3-session-merge-v2-review,32.3,9.8,22.5,3,0,37,0,2,11
beta=1;weights=4-2-1;defects=70,10,R15,zhikuncode / kimik3_session-merge-v2-code-review-report,32.3,9.8,22.5,3,0,37,0,2,25
beta=1;weights=4-2-1;defects=70,12,R10,TraeCode / kimik3-会话合并v2代码审查报告,29.2,6.7,22.5,2,0,38,0,2,10
beta=1;weights=4-2-1;defects=70,12,R16,小米mimo / session-merge-v2-code-review,29.2,6.7,22.5,2,0,38,0,2,12
beta=1;weights=4-2-1;defects=70,14,R17,智普ZCode / 会话合并v2代码审查报告,25.8,3.3,22.5,1.0,1.0,39.0,1,1,10
beta=1;weights=4-2-1;defects=70,15,R09,TraeCode / Qwen3.8Max-会话合并v2代码审查报告,22.5,0.0,22.5,0,0,40,0,2,10
beta=1;weights=4-2-1;defects=70,16,R06,QoderIDE / Cantus-zhikuncode-session-merge-v2-代码审查报告-2026-09-22,15.0,0.0,15,0,0,40,0,2,14
beta=1;weights=4-2-1;defects=70,17,R08,QoderIDE / 极致模型-会话合并v2代码审查报告,7.5,0.0,7.5,0,0,40,0,2,8
beta=1;weights=4-2-1;defects=80,1,R02,DeepSeekHarness / deepseekV4.1flashmax-session-merge-v2代码审查报告,60.7,40.7,20,14.0,1.0,26.0,1,7,22
beta=1;weights=4-2-1;defects=80,2,R14,zhikuncode / deepseekV4.1flash-session-merge-v2-code-review-report,58.5,38.5,20,13.0,1.0,27.0,1,7,42
beta=1;weights=4-2-1;defects=80,3,R01,Codex / Astra极高_会话合并v2完整代码审查报告_2026-09-22,54.5,34.5,20,11,0,29,0,2,15
beta=1;weights=4-2-1;defects=80,4,R13,zhikuncode / Qwen3.8max-session-merge-v2-code-review-report,46.7,26.7,20,10.0,10.0,30.0,1,11,53
beta=1;weights=4-2-1;defects=80,5,R07,QoderIDE / Sonus-session-merge-v2-review,43.8,23.8,20,7,0,33,0,1,17
beta=1;weights=4-2-1;defects=80,6,R03,KimiCode / KimiK3-session-merge-v2-review,43.3,23.3,20,7,1,33,0,7,26
beta=1;weights=4-2-1;defects=80,7,R05,Qoder / qwen3.8max极高新版本-会话合并v2代码审查报告,42.9,22.9,20,7.0,2.0,33.0,1,16,40
beta=1;weights=4-2-1;defects=80,8,R11,cursor / Grok4.7-会话合并v2完整代码审查报告,37.0,17.0,20,5,2,35,0,2,9
beta=1;weights=4-2-1;defects=80,9,R12,zhikuncode / GLM5.3-session-merge-v2-code-review,32.8,17.8,15,5,0,35,0,6,21
